הפניה,נתיב,גרסה,כיסוי
refs/github-services/pull/1232/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1234/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1234/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1234/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1242/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1242/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1242/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1247/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1247/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1247/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1249/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1249/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1249/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1250/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1250/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1250/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
